,id,resposta,ner_tags
22,23," [('T': LOCAL, 'E': INDEPENDÊNCIA)]",['o']
23,24, Nenhuma entidade reconhecida.,['o']
24,25," [('LEGISLACAO', 'EXCEPCIONALIDADE'), ('TEMPO', 'ANTECIPAÇÃO'), ('ORGANIZACAO', 'PAGAMENTOS')]",['o']
25,26, Nenhuma entidade predefinida foi detectada.,['o']
26,27," [('T': PESSOA, 'E': BOA-FÉ), ('T': ORGANIZACAO, 'E': GESTÃO)]",['o']
27,28," [('T': 'ORGANIZACAO', 'E': 'CONHECIMENTO'), ('T': 'LEGISLACAO', 'E': 'PROVIMENTO')]",['o']
28,29," [('T': LEGISLACAO, 'E': JULGAMENTO), ('T': LOCAL, 'E': RECORRENTE)]",['o']
29,30," [('T': LEGISLACAO, 'E': EXCLUSÃO), ('T': LEGISLACAO, 'E': DÉBITO), ('T': LEGISLACAO, 'E': MULTA), ('T': ORGANIZACAO, 'E': RECORRENTE)]",['o']
30,31," [('ORGANIZACAO', 'EMPRESA CONTRATADA'), ('ORGANIZACAO', 'EMPRESA'), ('LEGISLACAO', 'MULTA')]",['o']
31,32," [('T': LEGISLACAO, 'E': Agente particular), ('T': ORGANIZACAO, 'E': Administração Pública)]",['o']
32,33," [('PESSOA', 'Sr. Carlos Aureliano Motta de Souza'), ('LOCAL', 'União'), ('ORGANIZACAO', 'Grupo OK Construções e Empreendimentos Ltda.'), ('TEMPO', '16 de julho de 1992'), ('LEGISLACAO', 'Lei nº 8.443'), ('JURISPRUDENCIA', 'Acórdão nº 1.466/2013-TCU-Plenário')]",['o']
33,34, Nenhuma,['o']
34,35," [('PESSOA', 'Raimundo Carreiro'), ('PESSOA', 'Benjamin Zymler'), ('PESSOA', 'Augusto Nardes'), ('PESSOA', 'Bruno Dantas'), ('PESSOA', 'Vital do Rêgo')]",['o']
35,36, Nenhuma entidade foi identificada.,['o']
36,37," [('PESSOA': 'Augusto Sherman Cavalcanti'), ('PESSOA': 'Marcos Bemquerer Costa'), ('PESSOA': 'André Luís de Carvalho')]",['o']
37,38, Não há nenhuma entidade nomeada neste texto.,['o']
38,39," [('PESSOA', 'Ministro-Substituto'), ('PESSOA', 'Weder de Oliveira')]",['o']
39,40," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZACAO', 'Serur'), ('ORGANIZACAO', 'Superior Tribunal Militar - STM'), ('LEGISLACAO', 'Lei 8.443/1992'), ('ORGANIZACAO', 'Grupo OK Construções e Empreendimentos Ltda.'), ('PESSOA', 'Carlos de Almeida Batista'), ('PESSOA', 'Antonio Carlos de Nogueira'), ('PESSOA', 'Edson Alves Mey'), ('PESSOA', 'Aldo da Silva Fagundes'), ('PESSOA', 'José Luiz Soares Reali'), ('PESSOA', 'Raul Lopes Biangolino'), ('PESSOA', 'Luiz de Oliveira Alves'), ('ORGANIZACAO', 'Tesouro Nacional'), ('ORGANIZACAO', 'Tribunal'), ('LEGISLACAO', 'Regimento Interno'), ('ORGANIZACAO', 'Superior Tribunal Militar'), ('ORGANIZACAO', 'Tribunal Regional Federal da 2ª Região')]",['o']
40,41, Não há entidades nomeadas encontradas.,['o']
41,42," 
[('PESSOA', 'Ministério Público'), ('LOCAL', 'Tribunal de Contas da União'), ('ORGANIZACAO', 'Superior Tribunal Militar'), ('TEMPO', '1999')]",['o']
42,43,Não há nenhuma entidade nomeada neste texto.,['o']
43,44," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZACAO', 'STM'), ('TEMPO', '1999'), ('LEGISLACAO', 'Relação 31/2000'), ('JURISPRUDENCIA', 'acórdão constante da Relação 31/2000, ata 27/2000, ministro Marcos Vinicios Vilaça')]",['o']
44,45," [('ORGANIZACAO', 'Tribunal'), ('LOCAL', 'Rio de Janeiro'), ('LEGISLACAO', 'Decisão n. 633/1999-Plenário'), ('LEGISLACAO', 'Lei Orçamentária'), ('TEMPO', 'ano de 2000'), ('ORGANIZACAO', 'Congresso Nacional'), ('ORGANIZACAO', 'Sistema de Fiscalização de Obras (Fiscobras 1999)')]",['o']
45,46, Nenhuma. Não há entidades nomeadas neste texto.,['o']
46,47," [('ORGANIZACAO', 'Secretaria de Controle Externo no Estado do Rio de Janeiro – Secex/RJ'), ('LEGISLACAO', 'TC 009.153/1999-3'), ('ORGANIZACAO', 'Grupo OK Construções e Empreendimentos Ltda.')].",['o']
47,48," [('LEGISLACAO', 'Lei nº 8.443/92'), ('LEGISLACAO', 'Lei nº 4.320/64'), ('LEGISLACAO', 'Decreto nº 93.872/86'), ('LEGISLACAO', 'Lei nº 8.666/93'), ('LEGISLACAO', 'Lei de Licitações e Contratos'), ('LEGISLACAO', 'Decisão nº 633/99-TCU-Plenário'), ('ORGANIZACAO', 'SECEX/RJ'), ('ORGANIZACAO', 'Delegacia do Patrimônio da União'), ('ORGANIZACAO', 'Wal Park'), ('ORGANIZACAO', 'STM'), ('ORGANIZACAO', 'Comissão Mista de Planos, Orçamentos Públicos e Fiscalização do Congresso Nacional'), ('TEMPO', 'prazo regimental'), ('JURISPRUDENCIA', 'Decisão 877/2000 – Plenário')]",['o']
48,49," [('PESSOA', 'Tenente-Brigadeiro-do-Ar Carlos de Almeida Baptista'), ('ORGANIZACAO', 'Superior Tribunal Militar – STM'), ('ORGANIZACAO', 'Grupo OK Construções e Empreendimentos Ltda.'), ('ORGANIZACAO', '1a Circunscrição Judiciária Militar do Rio de Janeiro – 1ª CJM/RJ'), ('ORGANIZACAO', 'Comissão Regional de Obras da 1a Região Militar – CRO/1'), ('LEGISLACAO', 'Lei nº 8.443/92'), ('ORGANIZACAO', 'Secex/RJ')]",['o']
49,50," [('LEGISLACAO', 'Lei nº 8.666/93'), ('LEGISLACAO', 'Lei nº 4.320/64'), ('LEGISLACAO', 'Lei nº 8.666/93'), ('LEGISLACAO', 'Decreto nº 93.872/86'), ('LEGISLACAO', 'Decisão n° 633/99'), ('LEGISLACAO', 'Decisão n° 877/2000'), ('LEGISLACAO', 'Lei nº 10.407/2002')]",['o']
50,51,Não há nenhuma entidade nomeada no texto de entrada fornecido.,['o']
51,52," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZACAO', 'Grupo OK Construções e Empreendimentos Ltda.'), ('LEGISLACAO', 'TC 003.783/2004-8'), ('JURISPRUDENCIA', 'Acórdão 1.466/2013'), ('JURISPRUDENCIA', 'Acórdão 633/2014'), ('LOCAL', 'Ilha do Governador-RJ'), ('TEMPO', '16.12.1999'), ('TEMPO', '27.12.1999'), ('TEMPO', '1999')]",['o']
52,53, Não há entidades nomeadas nesse texto.,['o']
53,54," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZACAO', 'CONTRATADA'), ('PESSOA', 'RECORRENTE'), ('ORGANIZACAO', 'União')]",['o']
54,55," [('LEGISLACAO', 'Recurso de Reconsideração')]",['o']
55,56, Não há entidades predefinidas nesse texto.,['o']
56,57," [('TEMPO', 'Reitera-se'), ('LEGISLACAO', 'admissibilidade'), ('JURISPRUDENCIA', 'ratificado')]",['o']
57,58," [('PESSOA', 'Sr.'), ('ORGANIZACAO', 'Ministro-Relator'), ('TEMPO', 'peça 121'), ('LEGISLACAO', 'Acórdão 1.466/2013'), ('LEGISLACAO', 'Acórdão 633/2014'), ('ORGANIZACAO', 'Plenário')]",['o']
58,59," [('T': PESSOA, 'E': MÉRITO), ('T': TEMPO, 'E': 4)]",['o']
59,60,Resposta: Não há entidades nomeadas para serem extraídas no texto de entrada.,['o']
60,61," [('T': PESSOA, 'E': recorrente), ('T': LOCAL, 'E': Ilha do Governador-RJ), ('T': ORGANIZACAO, 'E': 1ª Circunscrição Judiciária Militar), ('T': TEMPO, 'E': período), ('T': LEGISLACAO, 'E': peças 66, p.2-5, 12-14, 20-23, 27-28 e 32-57), ('T': LEGISLACAO, 'E': peça 66, 5-10), ('T': LEGISLACAO, 'E': peças 66, p.10-12, 28, e 58-93), ('T': LEGISLACAO, 'E': peça 66, p.14-17, 28-31, e 102-111), ('T': LEGISLACAO, 'E': peça 66, p.17-20, 23-27 e 94-101), ('T': LEGISLACAO, 'E': peça 82, p.2), ('T': LEGISLACAO, 'E': peça 82, p.3), ('T': LEGISLACAO, 'E': peça 82, p.3)]",['o']
61,62,"Não é possível classificar entidades nomeadas com base neste texto, pois não contém palavras suficientes para identificar uma entidade.",['o']
62,63," [('PESSOA', 'recorrente'), ('LOCAL', 'Ilha do Governador-RJ'), ('ORGANIZACAO', '1ª Circunscrição Judiciária Militar')]",['o']
63,64," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZACAO', 'Superior Tribunal Militar'), ('ORGANIZACAO', 'Justiça Militar da União'), ('PESSOA', 'Carlos Almeida Batista'), ('ORGANIZACAO', 'Grupo OK Empreendimentos Imobiliários Ltda.'), ('LOCAL', 'Rio de Janeiro')]",['o']
64,65,"[('LEGISLACAO', 'Lei 7.674/1988'), ('ORGANIZACAO', 'Academia Nacional de Medicina'), ('ORGANIZACAO', 'Tribunal'), ('ORGANIZACAO', 'Administração')]",['o']
65,66," [('LOCAL', 'Município'), ('TEMPO', '1998'), ('TEMPO', '1999'), ('TEMPO', '2000'), ('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'restos a pagar'), ('ORGANIZACAO', 'Tesouro')]",['o']
66,67," [('PESSOA', 'Diretor-Geral'), ('ORGANIZACAO', 'Ministério Público'), ('ORGANIZACAO', 'Defensoria Pública da Justiça Militar da União da 1ª/CJM'), ('ORGANIZACAO', 'STM'), ('PESSOA', 'recorrente'), ('TEMPO', '19/3/1999')]",['o']
67,68," [('T': 'TEMPO', 'E': '19/3/1999'), ('T': 'TEMPO', 'E': '30/5/1999'), ('T': 'LOCAL', 'E': 'Rio de Janeiro'), ('T': 'LEGISLACAO', 'E': 'Assembleia Legislativa do Rio de Janeiro'), ('T': 'TEMPO', 'E': '1º/9/1998'), ('T': 'ORGANIZACAO', 'E': 'Justiça Militar'), ('T': 'ORGANIZACAO', 'E': 'Aeronáutica'), ('T': 'LOCAL', 'E': 'Ilha do Governador')]",['o']
68,69," [('TEMPO', '10/9/1999'), ('ORGANIZACAO', 'Corte')]",['o']
69,70," [('T': TEMPO, 'E': 31/12/1999), ('T': ORGANIZACAO, 'E': Comissão Regional de Obras da 1ª Região do Exército), ('T': PESSOA, 'E': Raul Lopes Biangolino), ('T': ORGANIZACAO, 'E': Aeronáutica), ('T': ORGANIZACAO, 'E': Depósito Central de Intendência)].",['o']
70,71, Nenhuma entidade predefinida foi reconhecida.,['o']
71,72," [('PESSOA', 'recorrente')]",['o']
72,73," [('ORGANIZACAO', 'Tribunal de Contas da União'), ('ORGANIZACAO', 'TCU'), ('LEGISLACAO', 'Relatório do acórdão recorrido'), ('TEMPO', 'Oito anos')]",['o']
73,74," [('PESSOA', 'gestor')], [('TEMPO', 'momento')], [('LOCAL', 'crise')]",['o']
74,75," 
[('LOCAL', 'Depósito de Intendência da Aeronáutica'), ('LOCAL', 'Rio de Janeiro'), ('TEMPO', 'lapso temporal')]",['o']
75,76," [('PESSOA', 'ex-gestor'), ('ORGANIZACAO', 'contratada'), ('LEGISLACAO', 'documentos'), ('TEMPO', 'situações'), ('LEGISLACAO', 'contrato'), ('LEGISLACAO', 'nota fiscal')]",['o']
76,77,"Resposta: [('ORGANIZACAO': 'Tribunal', 'LEGISLACAO': 'Lei'), ('ORGANIZACAO': 'Casa', 'JURISPRUDENCIA': 'julgados desta Casa'), ('ORGANIZACAO': 'empresa', 'LEGISLACAO': 'Lei'), ('ORGANIZACAO': 'erário', 'LEGISLACAO': 'Lei')]",['o']
77,78," [('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'item 31'), ('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'acórdão recorrido'), ('LEGISLACAO', 'ato de gestão')]",['o']
78,79," [('T': 'ORGANIZACAO', 'E': 'Grupo OK'), ('T': 'LEGISLACAO', 'E': 'fiança bancária'), ('T': 'LEGISLACAO', 'E': 'caução')]",['o']
79,80," [('LEGISLACAO', 'legislação pátria'), ('JURISPRUDENCIA', 'item 36 do relatório do acórdão recorrido'), ('ORGANIZACAO', 'STM'), ('ORGANIZACAO', 'Plenário administrativo do STM')]",['o']
80,81," [('ORGANIZACAO', 'Tribunal'), ('PESSOA', 'ex-gestor')]",['o']
81,82," [('T': TEMPO, 'E': julho de 1999), ('T': PESSOA, 'E': autor), ('T': TEMPO, 'E': 1998)]",['o']
82,83," [('PESSOA', 'Carlos Aureliano'), ('ORGANIZACAO', 'Conselho')]",['o']
83,84, Nenhuma,['o']
84,85," [('T': 'PESSOA', 'E': 'responsável'), ('T': 'ORGANIZACAO', 'E': 'STM'), ('T': 'LEGISLACAO', 'E': 'TCE'), ('T': 'PESSOA', 'E': 'recorrente'), ('T': 'ORGANIZACAO', 'E': 'auditor')]",['o']
85,86,"Resposta: [('T': 'PESSOA', 'E': 'Carlos Aureliano'), ('T': 'ORGANIZACAO', 'E': 'Conselho de Administração da Corte'), ('T': 'LEGISLACAO', 'E': 'peça 66')]",['o']
86,87," [('PESSOA', 'Carlos Aureliano'), ('ORGANIZACAO', 'STM'), ('LEGISLACAO', 'item 44 relatório da deliberação combatida')]",['o']
87,88," [('TEMPO', '1998'), ('TEMPO', '1999'), ('TEMPO', '2000'), ('LEGISLACAO', 'pedido 66'), ('JURISPRUDENCIA', 'item 68'), ('LEGISLACAO', 'pedido 66')]",['o']
88,89," [('T': TEMPO, 'E': 1998), ('T': TEMPO, 'E': 1999), ('T': ORGANIZACAO, 'E': STM)]",['o']
89,90," [('TEMPO', '31/12/1999'), ('ORGANIZACAO', 'Tesouro')]",['o']
90,91," [('TEMPO', '1998'), ('TEMPO', '1997'), ('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'p. 27')]",['o']
91,92, Não há entidades nomeadas presentes no texto.,['o']
92,93, Nenhuma entidade reconhecida.,['o']
93,94," [('T': 'PESSOA', 'E': 'responsável'), ('T': 'LOCAL', 'E': 'Tribunal'), ('T': 'PESSOA', 'E': 'gestor'), ('T': 'TEMPO', 'E': 'época'), ('T': 'TEMPO', 'E': 'tempo'), ('T': 'LOCAL', 'E': 'imóvel'), ('T': 'TEMPO', 'E': 'início')]",['o']
94,95, Nenhuma entidade foi reconhecida.,['o']
95,96," [('T': PESSOA, 'E': recorrente)]",['o']
96,97," [('PESSOA', 'Carlos Aureliano'), ('ORGANIZACAO', 'gestor anterior'), ('TEMPO', 'primeiro relatório'), ('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'peça 2')]",['o']
97,98, Não há entidades nomeadas neste texto.,['o']
98,99," [('LOCAL', 'Depósito Central da Intendência da Aeronáutica')]",['o']
99,100," [('T': PESSOA, 'E': 'terceiros')]",['o']
100,101,Não há nenhuma entidade nomeada neste texto.,['o']
101,102," [('LOCAL', 'Rio de Janeiro'), ('ORGANIZACAO', 'recorrente'), ('LEGISLACAO', 'dever de cuidado'), ('JURISPRUDENCIA', 'regular liquidação'), ('JURISPRUDENCIA', 'medições'), ('JURISPRUDENCIA', 'obras de edificações')]",['o']
102,103,"Resposta: [('T': PESSOA, 'E': gestores), ('T': LOCAL, 'E': erário), ('T': LEGISLACAO, 'E': Corte)]",['o']
103,104,Não há nenhuma entidade nomeada para extrair no texto fornecido.,['o']
104,105," [('LEGISLACAO', 'Lei 4.320/1964'), ('ORGANIZACAO', 'Administração')]",['o']
105,106, Nenhuma entidade encontrada.,['o']
106,107," Não há saída para o texto fornecido, pois não há entidades nomeadas reconhecíveis.",['o']
107,108," [('LEGISLACAO', 'legislação'), ('JURISPRUDENCIA', 'Acórdão 2.565/2007 – Primeira Câmara')]",['o']
108,109, Nenhuma entidade foi reconhecida.,['o']
109,110," [('LEGISLACAO', 'Tesouro Nacional'), ('ORGANIZACAO', 'Grupo OK')]",['o']
110,111," [('T':'LEGISLACAO', 'E':'Poder Judiciário'), ('T':'JURISPRUDENCIA', 'E':'inspeção in loco'), ('T':'JURISPRUDENCIA', 'E':'manifestação do perito judicial')]",['o']
111,112, Não há entidades nomeadas neste texto.,['o']
112,113," [('T': ORGANIZACAO, 'E': Grupo OK)]",['o']
113,114," [('T': TEMPO, 'E': pressão do tempo), ('T': TEMPO, 'E': final de exercício), ('T': TEMPO, 'E': influindo nas decisões do ex-gestor)]",['o']
114,115, Nenhuma entidade foi encontrada.,['o']
115,116," [('T': LEGISLACAO, 'E': garantia)]",['o']
116,117, Nenhuma entidade identificada.,['o']
117,118," [('ORGANIZACAO', 'erário'), ('ORGANIZACAO', 'contratada')]",['o']
118,119," [('PESSOA', 'responsável'), ('LOCAL', 'entrada'), ('ORGANIZACAO', 'materiais'), ('TEMPO', 'fabricação'), ('LEGISLACAO', 'esquadrias'), ('JURISPRUDENCIA', 'instalação')]",['o']
119,120," [('PESSOA', 'empresa contratada'), ('LEGISLACAO', 'peça 66'), ('JURISPRUDENCIA', 'p. 94-101')]",['o']
120,121, Nenhuma entidade predefinida foi detectada.,['o']
121,122," [('ORGANIZACAO', 'Grupo OK'), ('ORGANIZACAO', 'STM'), ('TEMPO', 'época')]",['o']
122,123, Não há entidades nomeadas neste texto.,['o']
123,124," [('T': PESSOA, 'E': ex-gestor), ('T': ORGANIZACAO, 'E': empresa)]",['o']
124,125, Nenhuma Entidade Encontrada.,['o']
125,126,Não é possível realizar a tarefa de reconhecimento de entidades nomeadas a partir desta entrada de texto. O texto é muito curto e não contém nenhuma entidade nomeada.,['o']
126,127," [(T: LEGISLACAO, E: Cerceamento de defesa), (T: TEMPO, E: 5-10), (T: LEGISLACAO, E: 6.1)]",['o']
127,128," [('PESSOA','Régis')]",['o']
128,129," [('LOCAL', 'Rio de Janeiro'), ('ORGANIZACAO', 'Secretaria de Controle Externo do Estado do Rio de Janeiro – Secex/RJ'), ('PESSOA', 'Sérgio Honorato')]",['o']
129,130," [('PESSOA', 'recorrente'), ('TEMPO', 'oportunidade')]",['o']
130,131," [('PESSOA', 'Secretário'), ('ORGANIZACAO', 'Tribunal'), ('ORGANIZACAO', 'Secretaria de Recursos'), ('LEGISLACAO', 'Carta Constitucional'), ('JURISPRUDENCIA', 'Casa'), ('ORGANIZACAO', 'Secex/RJ'), ('LEGISLACAO', 'Constituição Federal'), ('LEGISLACAO', 'Leis 9.784/1999'), ('LEGISLACAO', 'Leis 8.112/1990')]",['o']
131,132," [('ORGANIZACAO', 'empresa contratada'), ('JURISPRUDENCIA', 'STM'), ('PESSOA', 'recorrente'), ('PESSOA', 'advogado'), ('PESSOA', 'gestor')]",['o']
132,133, Nenhuma entidade foi reconhecida.,['o']
133,134," [('Jurisprudência', 'LEGISLACAO')]",['o']
134,135," [('LOCAL', 'Tribunal de Contas da União'), ('LEGISLACAO', 'Acórdão 2.471/2013'), ('JURISPRUDENCIA', 'Plenário')]",['o']
135,136, Nenhuma entidade reconhecida.,['o']
136,137," [('JURISPRUDENCIA', 'Corte'), ('LOCAL', 'âmbito'), ('TEMPO', 'ora'), ('LEGISLACAO', 'questões'), ('TEMPO', 'oportunidade'), ('LEGISLACAO', 'defesa'), ('LEGISLACAO', 'fato')]",['o']
137,138,"A saída seria: [('LEGISLACAO', 'TC 007.236/2001-4')]",['o']
138,139, Nenhuma entidade predefinida foi encontrada.,['o']
139,140," [('T': LEGISLACAO, 'E': 'sistemática antiga de julgamento das contas ordinárias'), ('T': TEMPO, 'E': 'múltiplos exercícios'), ('T': TEMPO, 'E': 'gestões diversas')]",['o']
140,141,Não há nenhuma entidade nomeada neste texto.,['o']
141,142," [('T': PESSOA, 'E': parte)]",['o']
142,143," [('Tipo': LEGISLACAO, 'Entidade': 'presentes autos'), ('Tipo': PESSOA, 'Entidade': 'responsável'), ('Tipo': PESSOA, 'Entidade': 'recorrente')]",['o']
143,144,Não há entidades nomeadas neste texto.,['o']
144,145," [('LEGISLACAO', 'Regimento Interno do TCU'), ('JURISPRUDENCIA', 'pas de nulité sans grief')]",['o']
145,146," [('LEGISLACAO', 'Tribunal'), ('ORGANIZACAO', 'erário')]",['o']
146,147,Não há entidades nomeadas no texto de entrada.,['o']
147,148,"Resposta: [('T': 'PESSOA', 'E': 'Relator'), ('T': 'ORGANIZACAO', 'E': 'Acórdão 633/2014'), ('T': 'LEGISLACAO', 'E': 'peça 85'), ('T': 'JURISPRUDENCIA', 'E': 'jurisprudência')]",['o']
148,149," [('LEGISLACAO', 'Acórdão 1.481/2005-1ª Câmara')]",['o']
149,150,Resposta: Não há entidades predefinidas de reconhecimento nessa entrada.,['o']
150,151," [('LEGISLACAO', 'TCU'), ('JURISPRUDENCIA', 'Decisões judiciais'), ('TEMPO', '7.1')]",['o']
151,152,"Resposta: [('T': 'ORGANIZACAO', 'E': 'Administração'), ('T': 'ORGANIZACAO', 'E': 'Procuradoria-Geral da República'), ('T': 'ORGANIZACAO', 'E': 'Grupo OK'), ('T': 'LEGISLACAO', 'E': 'falsificação de documentos'), ('T': 'LEGISLACAO', 'E': 'distrato'), ('T': 'LEGISLACAO', 'E': 'ressarcimento dos danos ao erário'), ('T': 'LEGISLACAO', 'E': 'ato que rescindiu o contrato')]",['o']
152,153," [('PESSOA', 'contratada')]",['o']
153,154," [('PESSOA', 'Juiz Federal'), ('LOCAL', 'Rio de Janeiro'), ('ORGANIZACAO', 'empresa'), ('ORGANIZACAO', 'União'), ('PESSOA', 'pessoa jurídica')]",['o']
154,155," [('T': LEGISLACAO, 'E': 'julgado'), ('T': ORGANIZACAO, 'E': 'Grupo OK'), ('T': JURISPRUDENCIA, 'E': 'deliberação da Justiça Federal')]",['o']
155,156," [('PESSOA', 'recorrente')]",['o']
156,157," [('Organização', 'empresa'), ('Organização', 'erário')]",['o']
157,158," [('PESSOA', 'Grupo OK'), ('ORGANIZACAO', 'empresa'), ('PESSOA', 'recorrente'), ('JURISPRUDENCIA', 'Tribunal'), ('LEGISLACAO', 'decisão judicial'), ('JURISPRUDENCIA', 'julgado')]",['o']
158,159," [('PESSOA', 'ex-gestor'), ('ORGANIZACAO', 'Justiça Federal'), ('JURISPRUDENCIA', 'jurisprudência'), ('ORGANIZACAO', 'Casa'), ('ORGANIZACAO', 'Grupo OK'), ('ORGANIZACAO', 'Justiça'), ('ORGANIZACAO', 'Corte de Contas'), ('ORGANIZACAO', 'Justiça Federal')]",['o']
159,160, Nenhuma,['o']
160,161," [('T': 'Legislação', 'E': 'ordenamento jurídico brasileiro'), ('T': 'Jurisprudência', 'E': 'princípio da independência das instâncias'), ('T': 'Esfera', 'E': 'cível'), ('T': 'Esfera', 'E': 'criminal'), ('T': 'Esfera', 'E': 'administrativa')]",['o']
161,162, Nenhuma entidade foi reconhecida.,['o']
162,163," [('LEGISLACAO': 'Código Civil', 'E': 'Artigo 935'), ('TEMPO': 'Existência do Fato', 'E': 'Quando estas questões se acharem decididas no juízo criminal')]",['o']
163,164," [('LEGISLACAO', 'Código de Processo Penal'), ('LEGISLACAO', 'artigo 66'), ('LEGISLACAO', 'sentença absolutória'), ('LEGISLACAO', 'ação civil'), ('LEGISLACAO', 'inexistência material do fato')]",['o']
164,165,Não há nenhuma entidade nomeada presente nesse texto.,['o']
165,166," [('LEGISLACAO', 'dois dispositivos'), ('JURISPRUDENCIA', 'sentença penal'), ('JURISPRUDENCIA', 'sentença penal absolutória'), ('TEMPO', 'âmbitos civil e administrativo'), ('FATO', 'existência do fato'), ('PESSOA', 'réu')]",['o']
166,167, Nenhuma entidade reconhecida.,['o']
167,168," [('LEGISLACAO', 'Mandados de Segurança 21.948/RJ'), ('LEGISLACAO', '21.708/DF'), ('LEGISLACAO', '23.625/DF')]",['o']
168,169," [('LEGISLACAO', 'STF'), ('LOCAL', 'Tribunal de Contas da União'), ('ORGANIZACAO', 'TCU')]",['o']
169,170," [('Legislação', 'Lei 8.112/1990'), ('Jurisprudência', 'absolvição criminal')]",['o']
170,171," [('LEGISLACAO', 'Lei 8.429/1992'), ('JURISPRUDENCIA', 'artigo 12')]",['o']
171,172," [('T': PESSOA, 'E': ora recorrente)]",['o']
172,173," [('ORGANIZACAO', 'União'), ('PESSOA', 'ex-gestor'), ('LOCAL', 'polo'), ('ORGANIZACAO', 'Administração Pública')]",['o']
173,174, Nenhuma entidade reconhecida.,['o']
174,175," [('T': 'LEGISLACAO', 'E': 'perícia judicial'), ('T': 'TEMPO', 'E': 'peça 66, p. 62-93'), ('T': 'ORGANIZACAO', 'E': 'consistência do débito')]",['o']
175,176, Nenhuma,['o']
